,tid,offence,label_dk,Anmeldte forbrydelser,population
39,2009K4,Særlove i alt,København,3537,526918
40,2010K1,Seksualforbrydelser i alt,København,42,528208
41,2010K1,Voldsforbrydelser i alt,København,498,528208
42,2010K1,Ejendomsforbrydelser i alt,København,17697,528208
43,2010K1,Andre straffelovsforbrydelser i alt,København,368,528208
44,2010K1,Særlove i alt,København,3799,528208
45,2010K2,Seksualforbrydelser i alt,København,35,530902
46,2010K2,Voldsforbrydelser i alt,København,519,530902
47,2010K2,Ejendomsforbrydelser i alt,København,19425,530902
48,2010K2,Andre straffelovsforbrydelser i alt,København,301,530902
49,2010K2,Særlove i alt,København,3353,530902
50,2010K3,Seksualforbrydelser i alt,København,44,531199
51,2010K3,Voldsforbrydelser i alt,København,471,531199
52,2010K3,Ejendomsforbrydelser i alt,København,19991,531199
53,2010K3,Andre straffelovsforbrydelser i alt,København,310,531199
54,2010K3,Særlove i alt,København,3358,531199
55,2010K4,Seksualforbrydelser i alt,København,32,538031
56,2010K4,Voldsforbrydelser i alt,København,483,538031
57,2010K4,Ejendomsforbrydelser i alt,København,20243,538031
58,2010K4,Andre straffelovsforbrydelser i alt,København,315,538031
59,2010K4,Særlove i alt,København,3508,538031
60,2011K1,Seksualforbrydelser i alt,København,36,539542
61,2011K1,Voldsforbrydelser i alt,København,518,539542
62,2011K1,Ejendomsforbrydelser i alt,København,18721,539542
63,2011K1,Andre straffelovsforbrydelser i alt,København,301,539542
64,2011K1,Særlove i alt,København,3548,539542
65,2011K2,Seksualforbrydelser i alt,København,55,541559
66,2011K2,Voldsforbrydelser i alt,København,493,541559
67,2011K2,Ejendomsforbrydelser i alt,København,19896,541559
68,2011K2,Andre straffelovsforbrydelser i alt,København,386,541559
69,2011K2,Særlove i alt,København,3513,541559
70,2011K3,Seksualforbrydelser i alt,København,46,541989
71,2011K3,Voldsforbrydelser i alt,København,483,541989
72,2011K3,Ejendomsforbrydelser i alt,København,21290,541989
73,2011K3,Andre straffelovsforbrydelser i alt,København,296,541989
74,2011K3,Særlove i alt,København,3112,541989
75,2011K4,Seksualforbrydelser i alt,København,57,548443
76,2011K4,Voldsforbrydelser i alt,København,533,548443
77,2011K4,Ejendomsforbrydelser i alt,København,22390,548443
78,2011K4,Andre straffelovsforbrydelser i alt,København,307,548443
79,2011K4,Særlove i alt,København,3806,548443
80,2012K1,Seksualforbrydelser i alt,København,46,549050
81,2012K1,Voldsforbrydelser i alt,København,471,549050
82,2012K1,Ejendomsforbrydelser i alt,København,19919,549050
83,2012K1,Andre straffelovsforbrydelser i alt,København,383,549050
84,2012K1,Særlove i alt,København,3977,549050
85,2012K2,Seksualforbrydelser i alt,København,55,551580
86,2012K2,Voldsforbrydelser i alt,København,508,551580
87,2012K2,Ejendomsforbrydelser i alt,København,20804,551580
88,2012K2,Andre straffelovsforbrydelser i alt,København,264,551580
89,2012K2,Særlove i alt,København,3772,551580
90,2012K3,Seksualforbrydelser i alt,København,43,551900
91,2012K3,Voldsforbrydelser i alt,København,462,551900
92,2012K3,Ejendomsforbrydelser i alt,København,21381,551900
93,2012K3,Andre straffelovsforbrydelser i alt,København,295,551900
94,2012K3,Særlove i alt,København,3775,551900
95,2012K4,Seksualforbrydelser i alt,København,51,557920
96,2012K4,Voldsforbrydelser i alt,København,463,557920
97,2012K4,Ejendomsforbrydelser i alt,København,20831,557920
98,2012K4,Andre straffelovsforbrydelser i alt,København,296,557920
99,2012K4,Særlove i alt,København,4339,557920
100,2013K1,Seksualforbrydelser i alt,København,28,559440
101,2013K1,Voldsforbrydelser i alt,København,413,559440
102,2013K1,Ejendomsforbrydelser i alt,København,18455,559440
103,2013K1,Andre straffelovsforbrydelser i alt,København,301,559440
104,2013K1,Særlove i alt,København,3789,559440
105,2013K2,Seksualforbrydelser i alt,København,66,562253
106,2013K2,Voldsforbrydelser i alt,København,557,562253
107,2013K2,Ejendomsforbrydelser i alt,København,21173,562253
108,2013K2,Andre straffelovsforbrydelser i alt,København,451,562253
109,2013K2,Særlove i alt,København,4440,562253
110,2013K3,Seksualforbrydelser i alt,København,36,562379
111,2013K3,Voldsforbrydelser i alt,København,601,562379
112,2013K3,Ejendomsforbrydelser i alt,København,21565,562379
113,2013K3,Andre straffelovsforbrydelser i alt,København,485,562379
114,2013K3,Særlove i alt,København,4107,562379
115,2013K4,Seksualforbrydelser i alt,København,58,569000
116,2013K4,Voldsforbrydelser i alt,København,695,569000
117,2013K4,Ejendomsforbrydelser i alt,København,19991,569000
118,2013K4,Andre straffelovsforbrydelser i alt,København,484,569000
119,2013K4,Særlove i alt,København,4783,569000
120,2014K1,Seksualforbrydelser i alt,København,54,569557
121,2014K1,Voldsforbrydelser i alt,København,618,569557
122,2014K1,Ejendomsforbrydelser i alt,København,18632,569557
123,2014K1,Andre straffelovsforbrydelser i alt,København,425,569557
124,2014K1,Særlove i alt,København,4906,569557
125,2014K2,Seksualforbrydelser i alt,København,60,572376
126,2014K2,Voldsforbrydelser i alt,København,664,572376
127,2014K2,Ejendomsforbrydelser i alt,København,19291,572376
128,2014K2,Andre straffelovsforbrydelser i alt,København,355,572376
129,2014K2,Særlove i alt,København,4502,572376
130,2014K3,Seksualforbrydelser i alt,København,50,572287
131,2014K3,Voldsforbrydelser i alt,København,602,572287
132,2014K3,Ejendomsforbrydelser i alt,København,18047,572287
133,2014K3,Andre straffelovsforbrydelser i alt,København,356,572287
134,2014K3,Særlove i alt,København,4386,572287
135,2014K4,Seksualforbrydelser i alt,København,64,579513
136,2014K4,Voldsforbrydelser i alt,København,704,579513
137,2014K4,Ejendomsforbrydelser i alt,København,19909,579513
138,2014K4,Andre straffelovsforbrydelser i alt,København,407,579513
139,2014K4,Særlove i alt,København,3951,579513
140,2015K1,Seksualforbrydelser i alt,København,54,580184
141,2015K1,Voldsforbrydelser i alt,København,623,580184
142,2015K1,Ejendomsforbrydelser i alt,København,16544,580184
143,2015K1,Andre straffelovsforbrydelser i alt,København,399,580184
144,2015K1,Særlove i alt,København,3483,580184
145,2015K2,Seksualforbrydelser i alt,København,54,583349
146,2015K2,Voldsforbrydelser i alt,København,728,583349
147,2015K2,Ejendomsforbrydelser i alt,København,18456,583349
148,2015K2,Andre straffelovsforbrydelser i alt,København,502,583349
149,2015K2,Særlove i alt,København,4260,583349
150,2015K3,Seksualforbrydelser i alt,København,72,583525
151,2015K3,Voldsforbrydelser i alt,København,699,583525
152,2015K3,Ejendomsforbrydelser i alt,København,17824,583525
153,2015K3,Andre straffelovsforbrydelser i alt,København,364,583525
154,2015K3,Særlove i alt,København,3736,583525
155,2015K4,Seksualforbrydelser i alt,København,127,589699
156,2015K4,Voldsforbrydelser i alt,København,885,589699
157,2015K4,Ejendomsforbrydelser i alt,København,20402,589699
158,2015K4,Andre straffelovsforbrydelser i alt,København,357,589699
159,2015K4,Særlove i alt,København,4314,589699
160,2016K1,Seksualforbrydelser i alt,København,73,591481
161,2016K1,Voldsforbrydelser i alt,København,799,591481
162,2016K1,Ejendomsforbrydelser i alt,København,17350,591481
163,2016K1,Andre straffelovsforbrydelser i alt,København,302,591481
164,2016K1,Særlove i alt,København,4101,591481
165,2016K2,Seksualforbrydelser i alt,København,112,594231
166,2016K2,Voldsforbrydelser i alt,København,884,594231
167,2016K2,Ejendomsforbrydelser i alt,København,20486,594231
168,2016K2,Andre straffelovsforbrydelser i alt,København,397,594231
169,2016K2,Særlove i alt,København,4390,594231
170,2016K3,Seksualforbrydelser i alt,København,109,594535
171,2016K3,Voldsforbrydelser i alt,København,862,594535
172,2016K3,Ejendomsforbrydelser i alt,København,20069,594535
173,2016K3,Andre straffelovsforbrydelser i alt,København,340,594535
174,2016K3,Særlove i alt,København,4087,594535
175,2016K4,Seksualforbrydelser i alt,København,98,601448
176,2016K4,Voldsforbrydelser i alt,København,784,601448
177,2016K4,Ejendomsforbrydelser i alt,København,22608,601448
178,2016K4,Andre straffelovsforbrydelser i alt,København,417,601448
179,2016K4,Særlove i alt,København,4495,601448
180,2017K1,Seksualforbrydelser i alt,København,90,602481
181,2017K1,Voldsforbrydelser i alt,København,842,602481
182,2017K1,Ejendomsforbrydelser i alt,København,18176,602481
183,2017K1,Andre straffelovsforbrydelser i alt,København,451,602481
184,2017K1,Særlove i alt,København,4325,602481
185,2017K2,Seksualforbrydelser i alt,København,147,606057
186,2017K2,Voldsforbrydelser i alt,København,1138,606057
187,2017K2,Ejendomsforbrydelser i alt,København,18059,606057
188,2017K2,Andre straffelovsforbrydelser i alt,København,351,606057
189,2017K2,Særlove i alt,København,4640,606057
190,2017K3,Seksualforbrydelser i alt,København,135,605366
191,2017K3,Voldsforbrydelser i alt,København,1151,605366
192,2017K3,Ejendomsforbrydelser i alt,København,17379,605366
193,2017K3,Andre straffelovsforbrydelser i alt,København,388,605366
194,2017K3,Særlove i alt,København,3726,605366
195,2017K4,Seksualforbrydelser i alt,København,108,611822
196,2017K4,Voldsforbrydelser i alt,København,1112,611822
197,2017K4,Ejendomsforbrydelser i alt,København,16870,611822
198,2017K4,Andre straffelovsforbrydelser i alt,København,420,611822
199,2017K4,Særlove i alt,København,3938,611822
200,2018K1,Seksualforbrydelser i alt,København,468,613288
201,2018K1,Voldsforbrydelser i alt,København,1025,613288
202,2018K1,Ejendomsforbrydelser i alt,København,14790,613288
203,2018K1,Andre straffelovsforbrydelser i alt,København,491,613288
204,2018K1,Særlove i alt,København,4317,613288
205,2018K2,Seksualforbrydelser i alt,København,166,615993
206,2018K2,Voldsforbrydelser i alt,København,1177,615993
207,2018K2,Ejendomsforbrydelser i alt,København,16466,615993
208,2018K2,Andre straffelovsforbrydelser i alt,København,422,615993
209,2018K2,Særlove i alt,København,5199,615993
210,2018K3,Seksualforbrydelser i alt,København,181,616098
211,2018K3,Voldsforbrydelser i alt,København,1125,616098
212,2018K3,Ejendomsforbrydelser i alt,København,15738,616098
213,2018K3,Andre straffelovsforbrydelser i alt,København,365,616098
214,2018K3,Særlove i alt,København,4589,616098
215,2018K4,Seksualforbrydelser i alt,København,126,622698
216,2018K4,Voldsforbrydelser i alt,København,1059,622698
217,2018K4,Ejendomsforbrydelser i alt,København,16122,622698
218,2018K4,Andre straffelovsforbrydelser i alt,København,424,622698
219,2018K4,Særlove i alt,København,4909,622698
220,2019K1,Seksualforbrydelser i alt,København,121,623404
221,2019K1,Voldsforbrydelser i alt,København,943,623404
222,2019K1,Ejendomsforbrydelser i alt,København,15540,623404
223,2019K1,Andre straffelovsforbrydelser i alt,København,576,623404
224,2019K1,Særlove i alt,København,5664,623404
225,2019K2,Seksualforbrydelser i alt,København,120,626350
226,2019K2,Voldsforbrydelser i alt,København,1183,626350
227,2019K2,Ejendomsforbrydelser i alt,København,15726,626350
228,2019K2,Andre straffelovsforbrydelser i alt,København,441,626350
229,2019K2,Særlove i alt,København,5622,626350
230,2019K3,Seksualforbrydelser i alt,København,112,626508
231,2019K3,Voldsforbrydelser i alt,København,1055,626508
232,2019K3,Ejendomsforbrydelser i alt,København,15350,626508
233,2019K3,Andre straffelovsforbrydelser i alt,København,406,626508
234,2019K3,Særlove i alt,København,5920,626508
235,2019K4,Seksualforbrydelser i alt,København,163,633021
236,2019K4,Voldsforbrydelser i alt,København,1145,633021
237,2019K4,Ejendomsforbrydelser i alt,København,17812,633021
238,2019K4,Andre straffelovsforbrydelser i alt,København,546,633021
239,2019K4,Særlove i alt,København,5404,633021
240,2020K1,Seksualforbrydelser i alt,København,186,632340
241,2020K1,Voldsforbrydelser i alt,København,927,632340
242,2020K1,Ejendomsforbrydelser i alt,København,15823,632340
243,2020K1,Andre straffelovsforbrydelser i alt,København,465,632340
244,2020K1,Særlove i alt,København,5709,632340
245,2020K2,Seksualforbrydelser i alt,København,134,633449
246,2020K2,Voldsforbrydelser i alt,København,825,633449
247,2020K2,Ejendomsforbrydelser i alt,København,9680,633449
248,2020K2,Andre straffelovsforbrydelser i alt,København,477,633449
249,2020K2,Særlove i alt,København,4162,633449
250,2020K3,Seksualforbrydelser i alt,København,201,633035
251,2020K3,Voldsforbrydelser i alt,København,1038,633035
252,2020K3,Ejendomsforbrydelser i alt,København,13500,633035
253,2020K3,Andre straffelovsforbrydelser i alt,København,523,633035
254,2020K3,Særlove i alt,København,4353,633035
255,2020K4,Seksualforbrydelser i alt,København,136,637936
256,2020K4,Voldsforbrydelser i alt,København,878,637936
257,2020K4,Ejendomsforbrydelser i alt,København,11020,637936
258,2020K4,Andre straffelovsforbrydelser i alt,København,533,637936
259,2020K4,Særlove i alt,København,5180,637936
260,2021K1,Seksualforbrydelser i alt,København,133,638117
261,2021K1,Voldsforbrydelser i alt,København,900,638117
262,2021K1,Ejendomsforbrydelser i alt,København,7957,638117
263,2021K1,Andre straffelovsforbrydelser i alt,København,547,638117
264,2021K1,Særlove i alt,København,7195,638117
265,2021K2,Seksualforbrydelser i alt,København,244,638678
266,2021K2,Voldsforbrydelser i alt,København,996,638678
267,2021K2,Ejendomsforbrydelser i alt,København,9758,638678
268,2021K2,Andre straffelovsforbrydelser i alt,København,538,638678
269,2021K2,Særlove i alt,København,4511,638678
270,2021K3,Seksualforbrydelser i alt,København,174,638790
271,2021K3,Voldsforbrydelser i alt,København,1089,638790
272,2021K3,Ejendomsforbrydelser i alt,København,12300,638790
273,2021K3,Andre straffelovsforbrydelser i alt,København,636,638790
274,2021K3,Særlove i alt,København,4736,638790
275,2021K4,Seksualforbrydelser i alt,København,327,643613
276,2021K4,Voldsforbrydelser i alt,København,1022,643613
277,2021K4,Ejendomsforbrydelser i alt,København,11859,643613
278,2021K4,Andre straffelovsforbrydelser i alt,København,393,643613
279,2021K4,Særlove i alt,København,4852,643613
280,2022K1,Seksualforbrydelser i alt,København,158,644431
281,2022K1,Voldsforbrydelser i alt,København,991,644431
282,2022K1,Ejendomsforbrydelser i alt,København,10287,644431
283,2022K1,Andre straffelovsforbrydelser i alt,København,453,644431
284,2022K1,Særlove i alt,København,5773,644431
285,2022K2,Seksualforbrydelser i alt,København,230,646812
286,2022K2,Voldsforbrydelser i alt,København,1332,646812
287,2022K2,Ejendomsforbrydelser i alt,København,12650,646812
288,2022K2,Andre straffelovsforbrydelser i alt,København,556,646812
289,2022K2,Særlove i alt,København,5193,646812
290,2008K1,Seksualforbrydelser i alt,Frederiksberg,3,93444
291,2008K1,Voldsforbrydelser i alt,Frederiksberg,32,93444
292,2008K1,Ejendomsforbrydelser i alt,Frederiksberg,1610,93444
293,2008K1,Andre straffelovsforbrydelser i alt,Frederiksberg,24,93444
294,2008K1,Særlove i alt,Frederiksberg,132,93444
295,2008K2,Seksualforbrydelser i alt,Frederiksberg,2,93848
296,2008K2,Voldsforbrydelser i alt,Frederiksberg,44,93848
297,2008K2,Ejendomsforbrydelser i alt,Frederiksberg,1676,93848
298,2008K2,Andre straffelovsforbrydelser i alt,Frederiksberg,17,93848
299,2008K2,Særlove i alt,Frederiksberg,126,93848
300,2008K3,Seksualforbrydelser i alt,Frederiksberg,7,93921
301,2008K3,Voldsforbrydelser i alt,Frederiksberg,39,93921
302,2008K3,Ejendomsforbrydelser i alt,Frederiksberg,1874,93921
303,2008K3,Andre straffelovsforbrydelser i alt,Frederiksberg,10,93921
304,2008K3,Særlove i alt,Frederiksberg,130,93921
305,2008K4,Seksualforbrydelser i alt,Frederiksberg,1,95005
306,2008K4,Voldsforbrydelser i alt,Frederiksberg,46,95005
307,2008K4,Ejendomsforbrydelser i alt,Frederiksberg,2058,95005
308,2008K4,Andre straffelovsforbrydelser i alt,Frederiksberg,11,95005
309,2008K4,Særlove i alt,Frederiksberg,129,95005
310,2009K1,Seksualforbrydelser i alt,Frederiksberg,1,95029
311,2009K1,Voldsforbrydelser i alt,Frederiksberg,44,95029
312,2009K1,Ejendomsforbrydelser i alt,Frederiksberg,1674,95029
313,2009K1,Andre straffelovsforbrydelser i alt,Frederiksberg,10,95029
314,2009K1,Særlove i alt,Frederiksberg,116,95029
315,2009K2,Seksualforbrydelser i alt,Frederiksberg,5,95429
316,2009K2,Voldsforbrydelser i alt,Frederiksberg,42,95429
317,2009K2,Ejendomsforbrydelser i alt,Frederiksberg,1746,95429
318,2009K2,Andre straffelovsforbrydelser i alt,Frederiksberg,7,95429
319,2009K2,Særlove i alt,Frederiksberg,129,95429
320,2009K3,Seksualforbrydelser i alt,Frederiksberg,4,95565
321,2009K3,Voldsforbrydelser i alt,Frederiksberg,29,95565
322,2009K3,Ejendomsforbrydelser i alt,Frederiksberg,1994,95565
323,2009K3,Andre straffelovsforbrydelser i alt,Frederiksberg,14,95565
324,2009K3,Særlove i alt,Frederiksberg,102,95565
325,2009K4,Seksualforbrydelser i alt,Frederiksberg,5,96720
326,2009K4,Voldsforbrydelser i alt,Frederiksberg,56,96720
327,2009K4,Ejendomsforbrydelser i alt,Frederiksberg,2150,96720
328,2009K4,Andre straffelovsforbrydelser i alt,Frederiksberg,14,96720
329,2009K4,Særlove i alt,Frederiksberg,97,96720
330,2010K1,Seksualforbrydelser i alt,Frederiksberg,2,96718
331,2010K1,Voldsforbrydelser i alt,Frederiksberg,31,96718
332,2010K1,Ejendomsforbrydelser i alt,Frederiksberg,1925,96718
333,2010K1,Andre straffelovsforbrydelser i alt,Frederiksberg,20,96718
334,2010K1,Særlove i alt,Frederiksberg,94,96718
335,2010K2,Seksualforbrydelser i alt,Frederiksberg,3,97368
336,2010K2,Voldsforbrydelser i alt,Frederiksberg,29,97368
337,2010K2,Ejendomsforbrydelser i alt,Frederiksberg,2017,97368
338,2010K2,Andre straffelovsforbrydelser i alt,Frederiksberg,11,97368
339,2010K2,Særlove i alt,Frederiksberg,117,97368
340,2010K3,Seksualforbrydelser i alt,Frederiksberg,7,97517
341,2010K3,Voldsforbrydelser i alt,Frederiksberg,26,97517
342,2010K3,Ejendomsforbrydelser i alt,Frederiksberg,2089,97517
343,2010K3,Andre straffelovsforbrydelser i alt,Frederiksberg,11,97517
344,2010K3,Særlove i alt,Frederiksberg,124,97517
345,2010K4,Seksualforbrydelser i alt,Frederiksberg,4,98789
346,2010K4,Voldsforbrydelser i alt,Frederiksberg,38,98789
347,2010K4,Ejendomsforbrydelser i alt,Frederiksberg,2132,98789
348,2010K4,Andre straffelovsforbrydelser i alt,Frederiksberg,14,98789
349,2010K4,Særlove i alt,Frederiksberg,115,98789
350,2011K1,Seksualforbrydelser i alt,Frederiksberg,4,98782
351,2011K1,Voldsforbrydelser i alt,Frederiksberg,20,98782
352,2011K1,Ejendomsforbrydelser i alt,Frederiksberg,1863,98782
353,2011K1,Andre straffelovsforbrydelser i alt,Frederiksberg,24,98782
354,2011K1,Særlove i alt,Frederiksberg,122,98782
355,2011K2,Seksualforbrydelser i alt,Frederiksberg,2,99237
356,2011K2,Voldsforbrydelser i alt,Frederiksberg,28,99237
357,2011K2,Ejendomsforbrydelser i alt,Frederiksberg,2195,99237
358,2011K2,Andre straffelovsforbrydelser i alt,Frederiksberg,9,99237
359,2011K2,Særlove i alt,Frederiksberg,117,99237
360,2011K3,Seksualforbrydelser i alt,Frederiksberg,8,99157
361,2011K3,Voldsforbrydelser i alt,Frederiksberg,38,99157
362,2011K3,Ejendomsforbrydelser i alt,Frederiksberg,2430,99157
363,2011K3,Andre straffelovsforbrydelser i alt,Frederiksberg,10,99157
364,2011K3,Særlove i alt,Frederiksberg,105,99157
365,2011K4,Seksualforbrydelser i alt,Frederiksberg,9,100257
366,2011K4,Voldsforbrydelser i alt,Frederiksberg,34,100257
367,2011K4,Ejendomsforbrydelser i alt,Frederiksberg,2537,100257
368,2011K4,Andre straffelovsforbrydelser i alt,Frederiksberg,41,100257
369,2011K4,Særlove i alt,Frederiksberg,141,100257
370,2012K1,Seksualforbrydelser i alt,Frederiksberg,4,100215
371,2012K1,Voldsforbrydelser i alt,Frederiksberg,26,100215
372,2012K1,Ejendomsforbrydelser i alt,Frederiksberg,2216,100215
373,2012K1,Andre straffelovsforbrydelser i alt,Frederiksberg,14,100215
374,2012K1,Særlove i alt,Frederiksberg,156,100215
375,2012K2,Seksualforbrydelser i alt,Frederiksberg,2,100814
376,2012K2,Voldsforbrydelser i alt,Frederiksberg,41,100814
377,2012K2,Ejendomsforbrydelser i alt,Frederiksberg,2182,100814
378,2012K2,Andre straffelovsforbrydelser i alt,Frederiksberg,21,100814
379,2012K2,Særlove i alt,Frederiksberg,158,100814
380,2012K3,Seksualforbrydelser i alt,Frederiksberg,3,100637
381,2012K3,Voldsforbrydelser i alt,Frederiksberg,38,100637
382,2012K3,Ejendomsforbrydelser i alt,Frederiksberg,2372,100637
383,2012K3,Andre straffelovsforbrydelser i alt,Frederiksberg,21,100637
384,2012K3,Særlove i alt,Frederiksberg,144,100637
385,2012K4,Seksualforbrydelser i alt,Frederiksberg,3,101951
386,2012K4,Voldsforbrydelser i alt,Frederiksberg,39,101951
387,2012K4,Ejendomsforbrydelser i alt,Frederiksberg,2335,101951
388,2012K4,Andre straffelovsforbrydelser i alt,Frederiksberg,13,101951
389,2012K4,Særlove i alt,Frederiksberg,219,101951
390,2013K1,Seksualforbrydelser i alt,Frederiksberg,3,102029
391,2013K1,Voldsforbrydelser i alt,Frederiksberg,35,102029
392,2013K1,Ejendomsforbrydelser i alt,Frederiksberg,2000,102029
393,2013K1,Andre straffelovsforbrydelser i alt,Frederiksberg,22,102029
394,2013K1,Særlove i alt,Frederiksberg,141,102029
395,2013K2,Seksualforbrydelser i alt,Frederiksberg,2,102306
396,2013K2,Voldsforbrydelser i alt,Frederiksberg,41,102306
397,2013K2,Ejendomsforbrydelser i alt,Frederiksberg,2236,102306
398,2013K2,Andre straffelovsforbrydelser i alt,Frederiksberg,24,102306
399,2013K2,Særlove i alt,Frederiksberg,268,102306
400,2013K3,Seksualforbrydelser i alt,Frederiksberg,7,101959
401,2013K3,Voldsforbrydelser i alt,Frederiksberg,42,101959
402,2013K3,Ejendomsforbrydelser i alt,Frederiksberg,2357,101959
403,2013K3,Andre straffelovsforbrydelser i alt,Frederiksberg,39,101959
404,2013K3,Særlove i alt,Frederiksberg,174,101959
405,2013K4,Seksualforbrydelser i alt,Frederiksberg,3,102751
406,2013K4,Voldsforbrydelser i alt,Frederiksberg,54,102751
407,2013K4,Ejendomsforbrydelser i alt,Frederiksberg,2196,102751
408,2013K4,Andre straffelovsforbrydelser i alt,Frederiksberg,27,102751
409,2013K4,Særlove i alt,Frederiksberg,239,102751
410,2014K1,Seksualforbrydelser i alt,Frederiksberg,2,102717
411,2014K1,Voldsforbrydelser i alt,Frederiksberg,64,102717
412,2014K1,Ejendomsforbrydelser i alt,Frederiksberg,2102,102717
413,2014K1,Andre straffelovsforbrydelser i alt,Frederiksberg,20,102717
414,2014K1,Særlove i alt,Frederiksberg,168,102717
415,2014K2,Seksualforbrydelser i alt,Frederiksberg,4,102682
416,2014K2,Voldsforbrydelser i alt,Frederiksberg,35,102682
417,2014K2,Ejendomsforbrydelser i alt,Frederiksberg,1945,102682
418,2014K2,Andre straffelovsforbrydelser i alt,Frederiksberg,15,102682
419,2014K2,Særlove i alt,Frederiksberg,160,102682
420,2014K3,Seksualforbrydelser i alt,Frederiksberg,9,102658
421,2014K3,Voldsforbrydelser i alt,Frederiksberg,39,102658
422,2014K3,Ejendomsforbrydelser i alt,Frederiksberg,1991,102658
423,2014K3,Andre straffelovsforbrydelser i alt,Frederiksberg,26,102658
424,2014K3,Særlove i alt,Frederiksberg,172,102658
425,2014K4,Seksualforbrydelser i alt,Frederiksberg,3,103405
426,2014K4,Voldsforbrydelser i alt,Frederiksberg,50,103405
427,2014K4,Ejendomsforbrydelser i alt,Frederiksberg,2184,103405
428,2014K4,Andre straffelovsforbrydelser i alt,Frederiksberg,42,103405
429,2014K4,Særlove i alt,Frederiksberg,180,103405
430,2015K1,Seksualforbrydelser i alt,Frederiksberg,3,103192
431,2015K1,Voldsforbrydelser i alt,Frederiksberg,48,103192
432,2015K1,Ejendomsforbrydelser i alt,Frederiksberg,1699,103192
433,2015K1,Andre straffelovsforbrydelser i alt,Frederiksberg,29,103192
434,2015K1,Særlove i alt,Frederiksberg,158,103192
435,2015K2,Seksualforbrydelser i alt,Frederiksberg,8,103732
436,2015K2,Voldsforbrydelser i alt,Frederiksberg,39,103732
437,2015K2,Ejendomsforbrydelser i alt,Frederiksberg,1957,103732
438,2015K2,Andre straffelovsforbrydelser i alt,Frederiksberg,31,103732
439,2015K2,Særlove i alt,Frederiksberg,174,103732
440,2015K3,Seksualforbrydelser i alt,Frederiksberg,7,103666
441,2015K3,Voldsforbrydelser i alt,Frederiksberg,41,103666
442,2015K3,Ejendomsforbrydelser i alt,Frederiksberg,1942,103666
443,2015K3,Andre straffelovsforbrydelser i alt,Frederiksberg,27,103666
444,2015K3,Særlove i alt,Frederiksberg,146,103666
445,2015K4,Seksualforbrydelser i alt,Frederiksberg,11,104612
446,2015K4,Voldsforbrydelser i alt,Frederiksberg,55,104612
447,2015K4,Ejendomsforbrydelser i alt,Frederiksberg,2036,104612
448,2015K4,Andre straffelovsforbrydelser i alt,Frederiksberg,30,104612
449,2015K4,Særlove i alt,Frederiksberg,225,104612
450,2016K1,Seksualforbrydelser i alt,Frederiksberg,13,104481
451,2016K1,Voldsforbrydelser i alt,Frederiksberg,43,104481
452,2016K1,Ejendomsforbrydelser i alt,Frederiksberg,1762,104481
453,2016K1,Andre straffelovsforbrydelser i alt,Frederiksberg,17,104481
454,2016K1,Særlove i alt,Frederiksberg,181,104481
455,2016K2,Seksualforbrydelser i alt,Frederiksberg,14,104538
