"Befolkningens udvikling efter bevægelsesart, køn, område og tid"

" "," "," ","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Befolkningen ultimo indeværende år"
" ","Mænd"
" "," ","Samsø",2008,1982,1946,1967,1897,1904,1873,1868,1853,1849,1860,1852,1837,1813,1841,1852
" "," ","Silkeborg",42971,43430,43864,44089,44274,44448,44484,44554,44801,45223,45485,45858,46355,46813,47545,48576
" "," ","Skanderborg",27586,27983,28287,28615,28832,28987,28995,29040,29332,29731,30160,30560,30930,31224,31574,31976
" "," ","Syddjurs",20477,20661,20597,20633,20832,20924,21008,20917,20909,21047,21188,21409,21526,21597,21682,21820
" "," ","Aarhus",145081,146226,148503,150477,152643,154469,156780,159154,160398,162603,165029,167519,169794,171994,173355,174588
" "," ","Herning",41917,42276,42834,42966,43048,43299,43337,43437,43522,44007,44572,44753,44913,44965,45035,44985
" "," ","Holstebro",28079,28429,28577,28445,28467,28479,28494,28550,28659,28801,29033,29190,29203,29265,29298,29265
" "," ","Ikast-Brande",20147,20269,20417,20467,20588,20639,20557,20599,20600,20714,20881,20994,21073,21123,21150,21414
" "," ","Lemvig",11307,11206,11160,11069,10929,10885,10828,10686,10560,10420,10346,10273,10194,10059,10015,9901
" "," ","Ringkøbing-Skjern",29518,29618,29906,29706,29454,29344,29213,28917,28942,29015,28921,28982,28961,28828,28548,28606
" "," ","Skive",24498,24500,24487,24398,24275,24146,23987,23807,23578,23605,23622,23671,23457,23337,23075,22935
" "," ","Struer",11403,11481,11405,11305,11184,11118,11008,10849,10795,10804,10739,10683,10608,10585,10472,10491
" "," ","Viborg",45838,46203,46580,46866,46968,47082,47386,47482,47803,48201,48602,48787,48967,48766,48632,48735
" "," ","Brønderslev",17861,17911,18047,18105,18082,18101,17980,18007,18175,18308,18341,18442,18476,18438,18348,18315
" "," ","Frederikshavn",31361,31339,31265,30975,30739,30556,30416,30271,30299,30276,30386,30318,30256,30109,29754,29693
" "," ","Hjørring",33397,33461,33460,33317,33209,33067,32806,32644,32624,32702,32694,32669,32380,32317,32125,32005
" "," ","Jammerbugt",19615,19718,19737,19735,19676,19595,19613,19449,19424,19525,19580,19577,19487,19391,19273,19270
" "," ","Læsø",1034,1008,999,1000,982,963,937,912,904,918,901,913,899,888,878,879
" "," ","Mariagerfjord",21297,21537,21580,21568,21568,21556,21354,21408,21384,21418,21373,21424,21375,21251,21158,21253
" "," ","Morsø",11200,11138,11162,11011,10876,10841,10705,10601,10519,10443,10437,10377,10310,10223,10167,10185
" "," ","Rebild",14570,14637,14754,14685,14730,14698,14685,14636,14696,14869,14975,15211,15195,15293,15508,15557
" "," ","Thisted",22944,22973,23017,22810,22765,22695,22470,22334,22228,22180,22099,22033,22029,21941,21790,21750
" "," ","Vesthimmerlands",19062,19420,19546,19307,19210,18996,19015,18985,18960,18946,18946,18996,18917,18674,18455,18422
" "," ","Aalborg",96774,97275,97888,98539,99391,100605,101922,103378,104412,105979,106858,107720,108555,109445,110644,111466
" ","Kvinder"
" "," ","København",255509,258125,262170,266995,272514,277632,283184,287906,293268,299236,304834,310423,315485,320286,323333,326512
" "," ","Frederiksberg",48949,49581,50275,51139,52223,53022,53935,54361,54610,55107,55263,54990,54714,54785,54481,54512
" "," ","Dragør",6771,6786,6855,6963,7038,7010,7119,7132,7189,7215,7284,7274,7286,7372,7427,7477
" "," ","Tårnby",20395,20580,20698,20776,20949,21093,21262,21318,21523,21692,21751,21769,21740,21697,21501,21537
" "," ","Albertslund",13763,13792,13835,13893,13934,13917,13894,13880,13930,13953,13996,13911,13998,13940,13781,13905
" "," ","Ballerup",23995,24001,24138,24310,24406,24433,24553,24728,24654,24623,24658,24693,24818,24831,25181,25198
" "," ","Brøndby",17398,17355,17307,17326,17405,17434,17492,17663,17869,17989,18193,18119,18056,17869,17955,18135
" "," ","Gentofte",36531,36617,37063,37695,38010,38633,38696,39171,39551,39602,39758,39800,39388,39142,39026,38777
" "," ","Gladsaxe",31823,32085,32371,32769,33162,33202,33566,33904,34210,34381,34707,35022,35080,34885,34844,34835
" "," ","Glostrup",10674,10669,10786,10891,10933,11091,11188,11255,11302,11328,11333,11394,11425,11657,11741,11749
" "," ","Herlev",13822,13737,13736,13697,13729,13698,13862,14257,14506,14660,14668,14707,14848,14888,14834,14773
" "," ","Hvidovre",25339,25241,25198,25424,25474,25718,26095,26286,26612,26848,26877,27016,27112,27138,27167,26948
" "," ","Høje-Taastrup",23442,23675,23789,23931,23967,24172,24355,24525,24670,24988,25039,25194,25322,25319,25857,26385
" "," ","Ishøj",10379,10360,10395,10336,10448,10617,10591,10762,10980,11160,11350,11455,11510,11520,11622,11629
" "," ","Lyngby-Taarbæk",27009,26792,26819,27084,27339,27550,27763,28044,28238,28276,28330,28445,28592,28750,28751,29267
" "," ","Rødovre",18683,18599,18710,18700,18792,18981,19129,19273,19315,19470,19702,20119,20493,20818,20982,21066
" "," ","Vallensbæk",6085,6211,6712,7033,7248,7318,7438,7548,7617,7714,7870,8174,8314,8307,8234,8233
" "," ","Allerød",11932,11896,12084,12277,12283,12250,12297,12361,12477,12627,12690,12820,13024,13093,13215,13202
" "," ","Egedal",20073,20338,20635,20938,20984,21114,21159,21279,21453,21518,21661,21646,21804,21823,21981,22321
" "," ","Fredensborg",20238,20213,20238,20237,20336,20447,20349,20332,20476,20642,20903,21030,21042,21066,21126,21252
" "," ","Frederikssund",22082,22195,22274,22288,22325,22387,22407,22450,22406,22552,22678,22787,22853,22810,22993,23189
" "," ","Furesø",19340,19383,19471,19704,19670,19678,19644,19724,20026,20543,20745,20949,21020,20974,20961,21194
